timestamp,date_GMT,status,attendance,home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1397943000,Apr 19 2014 - 9:30pm,complete,35020,Fluminense,Figueirense,0.00,0.00,2.05,1.11,3,0,3,2,2,0,"31,45,59","",8,2,0,0,2,0,14,5,9,2,5,3,15,11,56,44,0.00,0,0,0,0,0,0,0,0.00,0.00,1.57,4.2,6.45,0,0,0,0,0,0,Estadio Jornalista Mário Filho (Maracanã) (Rio de Janeiro- Rio de Janeiro)
1397943000,Apr 19 2014 - 9:30pm,complete,21983,Internacional,Vitória,0.00,0.00,2.37,0.79,1,0,1,1,1,0,"6","",7,3,2,0,3,0,11,5,4,3,7,2,16,17,54,46,0.00,0,0,0,0,0,0,0,0.00,0.00,1.65,4,5.73,0,0,0,0,0,0,Estádio José Pinheiro Borda (Porto Alegre- Rio Grande do Sul)
1397952000,Apr 20 2014 - 12:00am,complete,6944,Chapecoense,Coritiba,0.00,0.00,1.63,0.63,0,0,0,0,0,0,"","",4,3,0,0,1,0,8,14,5,8,3,6,27,24,57,43,0.00,0,0,0,0,0,0,0,0.00,0.00,2.47,3.3,3.11,0,0,0,0,0,0,Arena Condá (Chapecó- Santa Catarina)
1398020400,Apr 20 2014 - 7:00pm,complete,31564,São Paulo,Botafogo,0.00,0.00,2.05,0.26,3,0,3,2,2,0,"13,22,56","",4,4,1,0,2,0,8,9,6,6,2,3,18,23,54,46,0.00,0,0,0,0,0,0,0,0.00,0.00,2,3.48,4.11,0,0,0,0,0,0,Estádio Cícero Pompeu de Toledo (Morumbi) (São Paulo- São Paulo)
1398020400,Apr 20 2014 - 7:00pm,complete,2495,Atlético PR,Grêmio,0.00,0.00,1.84,1.11,1,0,1,1,1,0,"16","",1,10,1,0,2,0,5,16,2,6,3,10,18,15,42,58,0.00,0,0,0,0,0,0,0,0.00,0.00,2.57,3.21,3.03,0,0,0,0,0,0,Estádio Orlando Scarpelli (Florianópolis- Santa Catarina)
1398020400,Apr 20 2014 - 7:00pm,complete,8724,Atlético Mineiro,Corinthians,0.00,0.00,2.16,1.42,0,0,0,0,0,0,"","",6,4,0,0,0,0,15,17,13,10,2,7,15,13,54,46,0.00,0,0,0,0,0,0,0,0.00,0.00,2.59,3.14,3.06,0,0,0,0,0,0,Estádio Municipal João Havelange (Uberlândia- Minas Gerais)
1398020400,Apr 20 2014 - 7:00pm,complete,9348,Bahia,Cruzeiro,0.00,0.00,1.16,1.74,1,2,3,0,0,0,"80","63,90",7,7,4,0,4,0,13,13,8,4,5,9,15,19,47,53,0.00,0,0,0,0,0,0,0,0.00,0.00,3.21,3.32,2.39,0,0,0,0,0,0,Arena Fonte Nova (Salvador- Bahia)
1398029400,Apr 20 2014 - 9:30pm,complete,19012,Flamengo,Goiás,0.00,0.00,1.84,0.68,0,0,0,0,0,0,"","",10,3,4,0,2,0,7,10,5,7,2,3,13,14,66,34,0.00,0,0,0,0,0,0,0,0.00,0.00,2.02,3.48,4.03,0,0,0,0,0,0,Estádio Nacional de Brasília (Brasília- Distrito Federal)
1398029400,Apr 20 2014 - 9:30pm,complete,7964,Santos,Sport Recife,0.00,0.00,1.74,0.84,1,1,2,0,0,0,"80","73",9,2,1,0,3,0,20,9,8,4,12,5,23,22,47,53,0.00,0,0,0,0,0,0,0,0.00,0.00,1.54,4.32,6.68,0,0,0,0,0,0,Estádio Urbano Caldeira (Santos- São Paulo)
1398029400,Apr 20 2014 - 9:30pm,complete,11768,Criciúma,Palmeiras,0.00,0.00,1.37,0.79,1,2,3,1,1,0,"12","83,88",7,5,3,0,5,0,12,12,8,6,4,6,12,15,45,55,0.00,0,0,0,0,0,0,0,0.00,0.00,2.76,3.26,2.76,0,0,0,0,0,0,Estádio Heriberto Hülse (Criciúma- Santa Catarina)
