timestamp,date_GMT,status,attendance,home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1523732400,Apr 14 2018 - 7:00pm,complete,N/A,Cruzeiro,Grêmio,0.00,0.00,1.95,1.32,0,1,1,0,0,0,"","55",7,4,3,0,1,1,11,5,5,3,6,2,20,15,42,58,0.00,0,0,0,0,0,0,0,0.00,0.00,2.31,3.28,3.47,0,0,0,0,0,0,Estádio Governador Magalhães Pinto (Belo Horizonte- Minas Gerais)
1523743200,Apr 14 2018 - 10:00pm,complete,N/A,Vitória,Flamengo,0.00,0.00,1.37,1.47,2,2,4,2,1,1,"13,76","1,72",4,5,3,0,2,1,9,7,5,5,4,2,23,9,48,52,0.00,0,0,0,0,0,0,0,0.00,0.00,3.2,3.41,2.38,0,0,0,0,0,0,Estádio Manoel Barradas (Salvador- Bahia)
1523750400,Apr 15 2018 - 12:00am,complete,N/A,Santos,Ceará,0.00,0.00,1.74,0.79,2,0,2,1,1,0,"42,50","",4,2,0,0,1,0,24,10,4,3,20,7,8,5,53,47,0.00,0,0,0,0,0,0,0,0.00,0.00,1.56,4.25,6.74,0,0,0,0,0,0,Estádio Municipal Paulo Machado de Carvalho (São Paulo- São Paulo)
1523800800,Apr 15 2018 - 2:00pm,complete,N/A,América Mineiro,Sport Recife,0.00,0.00,1.63,0.63,3,0,3,3,3,0,"1,38,41","",2,6,1,0,3,0,13,15,5,6,8,9,12,12,39,61,0.00,0,0,0,0,0,0,0,0.00,0.00,2.11,3.32,3.99,1.39,2.2,4.15,8.25,2.05,1.77,Estádio Raimundo Sampaio (Belo Horizonte- Minas Gerais)
1523818800,Apr 15 2018 - 7:00pm,complete,N/A,Vasco da Gama,Atlético Mineiro,0.00,0.00,1.68,1.00,2,1,3,1,0,1,"87,90'9","13",9,3,4,0,3,0,19,12,9,7,10,5,11,18,67,33,0.00,0,0,0,0,0,0,0,0.00,0.00,2.65,3.15,2.7,1.32,2,3.6,6.95,1.87,1.95,Estádio Club de Regatas Vasco da Gama (Rio de Janeiro- Rio de Janeiro)
1523818800,Apr 15 2018 - 7:00pm,complete,N/A,Corinthians,Fluminense,0.00,0.00,1.84,0.68,2,1,3,1,1,0,"45'1,86","48",6,2,0,0,0,0,13,15,3,5,10,10,14,15,61,39,0.00,0,0,0,0,0,0,0,0.00,0.00,1.71,3.71,5.8,1.43,2.3,4.35,8.75,2.4,1.59,Arena Corinthians (São Paulo- São Paulo)
1523818800,Apr 15 2018 - 7:00pm,complete,N/A,Internacional,Bahia,0.00,0.00,2.42,0.58,2,0,2,1,1,0,"38,61","",4,3,2,0,0,0,14,12,5,3,9,9,15,18,44,56,0.00,0,0,0,0,0,0,0,0.00,0.00,1.71,3.71,5.8,1.42,2.25,4.3,8.5,2.25,1.65,Estádio José Pinheiro Borda (Porto Alegre- Rio Grande do Sul)
1523829600,Apr 15 2018 - 10:00pm,complete,N/A,Atlético PR,Chapecoense,0.00,0.00,2.32,0.47,5,1,6,0,0,0,"52,58,68,88,90'3","48",3,9,1,0,3,0,15,14,10,5,5,9,10,16,64,36,0.00,0,0,0,0,0,0,0,0.00,0.00,1.92,3.41,4.75,1.43,2.35,4.45,9,2.2,1.67,Estádio Joaquim Américo Guimarães (Curitiba- Paraná)
1523919600,Apr 16 2018 - 11:00pm,complete,N/A,Botafogo,Palmeiras,0.00,0.00,1.95,1.58,1,1,2,0,0,0,"82","54",8,3,1,0,4,0,13,8,6,5,7,3,7,23,48,52,0.00,0,0,0,0,0,0,0,0.00,0.00,3.14,3.32,2.44,1.39,2.2,4.15,8.25,2.05,1.77,Estádio Nilton Santos (Rio de Janeiro)
1523919600,Apr 16 2018 - 11:00pm,complete,N/A,São Paulo,Paraná,0.00,0.00,2.00,0.21,1,0,1,1,1,0,"37","",7,7,4,0,2,0,12,7,7,2,5,5,19,15,51,49,0.00,0,0,0,0,0,0,0,0.00,0.00,1.48,4.41,7.84,1.33,2.05,3.65,7,2.55,1.51,Estádio Cícero Pompeu de Toledo (Morumbi) (São Paulo- São Paulo)
1524337200,Apr 21 2018 - 7:00pm,complete,N/A,Bahia,Santos,0.00,0.00,1.95,0.89,1,0,1,0,0,0,"90'4","",7,6,4,0,3,0,12,7,6,3,6,4,28,22,50,50,0.00,0,0,0,0,0,0,0,0.00,0.00,2.36,3.3,3.35,1.42,2.25,4.3,8.5,2.05,1.77,Arena Fonte Nova (Salvador- Bahia)
1524348000,Apr 21 2018 - 10:00pm,complete,N/A,Flamengo,América Mineiro,0.00,0.00,2.32,0.47,2,0,2,2,2,0,"28,35","",6,12,1,0,1,0,14,17,7,5,7,12,15,16,52,48,0.00,0,0,0,0,0,0,0,0.00,0.00,1.51,4.25,7.74,1.29,1.95,3.35,6.45,2.35,1.59,Estadio Jornalista Mário Filho (Maracanã) (Rio de Janeiro- Rio de Janeiro)
1524405600,Apr 22 2018 - 2:00pm,complete,N/A,Paraná,Corinthians,0.00,0.00,1.00,0.47,0,4,4,2,0,2,"","25,27,80,86",5,2,1,0,1,0,16,9,8,5,8,4,16,16,57,43,0.00,0,0,0,0,0,0,0,0.00,0.00,3.3,3.22,2.43,1.56,2.7,5.5,11.25,2.35,1.59,Estádio Durival de Britto e Silva (Curitiba- Paraná)
1524423600,Apr 22 2018 - 7:00pm,complete,N/A,Atlético Mineiro,Vitória,0.00,0.00,2.11,0.58,2,1,3,1,1,0,"20,73","88",6,5,2,0,4,0,14,11,7,4,7,7,22,19,59,41,0.00,0,0,0,0,0,0,0,0.00,0.00,1.51,4.46,7.23,1.25,1.8,3,5.6,1.95,1.87,Estádio Raimundo Sampaio (Belo Horizonte- Minas Gerais)
1524423600,Apr 22 2018 - 7:00pm,complete,N/A,Chapecoense,Vasco da Gama,0.00,0.00,1.84,0.58,1,1,2,1,1,0,"19","54",3,3,1,0,2,0,12,15,3,9,9,6,13,8,42,58,0.00,0,0,0,0,0,0,0,0.00,0.00,2.12,3.39,3.87,1.36,2.1,3.9,7.5,2.05,1.77,Arena Condá (Chapecó- Santa Catarina)
1524423600,Apr 22 2018 - 7:00pm,complete,N/A,Fluminense,Cruzeiro,0.00,0.00,1.68,0.84,1,0,1,0,0,0,"49","",1,7,3,1,2,0,3,15,3,6,0,9,13,19,36,64,0.00,0,0,0,0,0,0,0,0.00,0.00,2.28,3.41,3.41,1.36,2.1,3.85,7.5,1.95,1.87,Estadio Jornalista Mário Filho (Maracanã) (Rio de Janeiro- Rio de Janeiro)
1524423600,Apr 22 2018 - 7:00pm,complete,N/A,Ceará,São Paulo,0.00,0.00,1.53,1.32,0,0,0,0,0,0,"","",7,7,1,0,1,0,12,11,4,4,8,7,12,7,54,46,0.00,0,0,0,0,0,0,0,0.00,0.00,3.29,3.32,2.38,1.42,2.25,4.3,8.5,2.05,1.77,Estádio Governador Plácido Aderaldo Castelo (Fortaleza- Ceará)
1524423600,Apr 22 2018 - 7:00pm,complete,N/A,Palmeiras,Internacional,0.00,0.00,2.63,1.21,1,0,1,1,1,0,"40","",8,9,2,0,2,0,12,8,4,6,8,2,14,15,46,54,0.00,0,0,0,0,0,0,0,0.00,0.00,1.68,3.79,5.95,1.4,2.25,4.2,8.25,2.35,1.59,Estádio Municipal Paulo Machado de Carvalho (São Paulo- São Paulo)
1524434400,Apr 22 2018 - 10:00pm,complete,N/A,Grêmio,Atlético PR,0.00,0.00,2.16,0.68,0,0,0,0,0,0,"","",7,4,3,0,3,1,21,6,9,0,12,6,9,15,54,46,0.00,0,0,0,0,0,0,0,0.00,0.00,1.76,3.62,5.59,1.43,2.3,4.35,8.75,2.3,1.62,Arena do Grêmio (Porto Alegre- Rio Grande do Sul)
1524524400,Apr 23 2018 - 11:00pm,complete,N/A,Sport Recife,Botafogo,0.00,0.00,1.58,0.74,1,1,2,0,0,0,"86","90'3",10,7,1,0,3,0,21,7,13,2,8,5,13,14,54,46,0.00,0,0,0,0,0,0,0,0.00,0.00,2.55,3.34,3,1.41,2.25,4.25,8.25,2.05,1.77,Estádio Adelmar da Costa Carvalho (Recife- Pernambuco)
1524942000,Apr 28 2018 - 7:00pm,complete,N/A,Botafogo,Grêmio,1.00,3.00,1.95,1.32,2,1,3,2,1,1,"36,90'2","38",10,4,1,0,1,0,18,8,8,3,10,5,14,12,58,42,1.50,50,50,0,0,0,0,0,12.00,4.00,2.47,3.24,3.21,1.45,2.4,4.6,9.25,2.1,1.74,Estádio Nilton Santos (Rio de Janeiro)
1525028400,Apr 29 2018 - 7:00pm,complete,N/A,Atlético Mineiro,Corinthians,3.00,3.00,2.11,0.47,1,0,1,0,0,0,"87","",10,0,4,0,3,0,14,5,7,3,7,2,25,14,57,43,3.50,50,100,100,50,0,50,100,8.00,3.00,2.19,3.4,3.65,1.38,2.2,4.1,8,2.05,1.8,Estádio Raimundo Sampaio (Belo Horizonte- Minas Gerais)
1525028400,Apr 29 2018 - 7:00pm,complete,N/A,Paraná,Sport Recife,0.00,0.00,1.00,0.63,1,2,3,1,0,1,"90","8,49",8,1,1,0,1,0,18,10,11,6,7,4,14,15,67,33,3.50,0,100,100,50,0,100,100,11.00,4.00,2.37,3.3,3.34,1.41,2.25,4.25,8.25,2.05,1.77,Estádio Durival de Britto e Silva (Curitiba- Paraná)
1525028400,Apr 29 2018 - 7:00pm,complete,N/A,Bahia,Atlético PR,3.00,1.00,1.95,0.68,0,0,0,0,0,0,"","",8,2,2,0,2,0,22,10,9,3,13,7,23,12,43,57,0.50,0,0,0,0,0,0,0,11.00,8.00,2.3,3.37,3.4,1.39,2.2,4.1,8,2.05,1.8,Arena Fonte Nova (Salvador- Bahia)
1525028400,Apr 29 2018 - 7:00pm,complete,N/A,Fluminense,São Paulo,3.00,1.00,1.68,1.32,1,1,2,1,0,1,"89","23",7,8,3,0,2,0,8,6,3,3,5,3,16,16,57,43,0.50,0,0,0,0,0,0,0,8.00,6.00,2.44,3.36,3.14,1.38,2.2,4.05,8,2,1.83,Estadio Jornalista Mário Filho (Maracanã) (Rio de Janeiro- Rio de Janeiro)
1525028400,Apr 29 2018 - 7:00pm,complete,N/A,Ceará,Flamengo,1.00,1.00,1.53,1.47,0,3,3,1,0,1,"","42,53,71",2,5,1,0,2,0,8,18,2,8,6,10,17,14,45,55,2.00,50,50,50,50,0,50,50,12.00,5.00,3.75,3.38,2.16,1.42,2.25,4.3,8.5,2.05,1.77,Estádio Governador Plácido Aderaldo Castelo (Fortaleza- Ceará)
1525028400,Apr 29 2018 - 7:00pm,complete,N/A,Palmeiras,Chapecoense,3.00,0.00,2.63,0.47,0,0,0,0,0,0,"","",14,1,4,0,6,0,16,6,7,0,9,6,18,15,72,28,3.50,50,50,50,50,50,0,50,17.00,5.00,1.41,4.8,9.38,1.28,1.87,3.2,6.15,2.45,1.56,Allianz Parque (São Paulo- São Paulo)
1525039200,Apr 29 2018 - 10:00pm,complete,N/A,Internacional,Cruzeiro,3.00,0.00,2.42,0.84,0,0,0,0,0,0,"","",18,4,4,0,3,0,14,8,6,0,8,8,16,15,63,37,1.50,0,50,0,0,0,0,50,11.00,4.00,2.05,3.4,4.1,1.5,2.5,5,10,2.3,1.62,Estádio José Pinheiro Borda (Porto Alegre- Rio Grande do Sul)
1525129200,Apr 30 2018 - 11:00pm,complete,N/A,América Mineiro,Vitória,3.00,0.00,1.63,0.58,2,1,3,2,2,0,"7,35","76",8,7,2,1,2,0,11,14,9,7,2,7,14,11,41,59,3.00,50,100,100,0,0,50,100,7.00,5.00,2.2,3.39,3.63,1.38,2.2,4.05,8,2.05,1.8,Estádio Raimundo Sampaio (Belo Horizonte- Minas Gerais)
1525557600,May 5 2018 - 10:00pm,complete,N/A,Vasco da Gama,América Mineiro,3.00,0.00,1.68,0.47,4,1,5,1,0,1,"57,63,79,90'1","32",3,3,4,0,4,0,19,6,9,4,10,2,14,23,60,40,2.50,50,100,50,0,0,50,100,21.00,5.00,2,3.2,4,1.41,2.25,4.25,8.25,2.1,1.74,Estádio Club de Regatas Vasco da Gama (Rio de Janeiro- Rio de Janeiro)
1525557600,May 5 2018 - 10:00pm,complete,N/A,São Paulo,Atlético Mineiro,3.00,0.00,2.00,1.00,2,2,4,1,1,0,"25,82","71,78",6,7,4,0,4,0,8,10,3,7,5,3,17,14,45,55,2.00,50,50,50,0,0,0,100,10.00,7.00,2.13,3.49,3.66,1.39,2.2,4.1,8,2.05,1.8,Estádio Cícero Pompeu de Toledo (Morumbi) (São Paulo- São Paulo)
1525615200,May 6 2018 - 2:00pm,complete,N/A,Corinthians,Ceará,3.00,0.00,1.84,0.79,1,1,2,2,1,1,"40","9",12,2,2,0,4,0,12,5,5,4,7,1,11,20,61,39,2.50,50,100,50,0,0,0,100,8.00,1.00,1.48,4.19,8.74,1.43,2.3,4.35,8.75,2.3,1.61,Arena Corinthians (São Paulo- São Paulo)
1525633200,May 6 2018 - 7:00pm,complete,N/A,Cruzeiro,Botafogo,0.00,1.00,1.95,0.74,1,0,1,0,0,0,"72","",8,6,1,0,4,0,19,6,8,2,11,4,18,12,53,47,1.50,50,50,0,0,0,0,0,14.00,6.00,1.72,3.79,5.44,1.34,2.05,3.75,7.25,2.4,1.57,Estádio Governador Magalhães Pinto (Belo Horizonte- Minas Gerais)
1525633200,May 6 2018 - 7:00pm,complete,N/A,Atlético PR,Palmeiras,3.00,1.00,2.32,1.58,1,3,4,1,0,1,"90","44,60,85",3,6,1,0,2,0,9,12,5,6,4,6,10,15,56,44,4.00,100,100,50,50,50,0,0,6.00,5.00,2.89,3.26,2.65,1.41,2.25,4.25,8.25,2.05,1.8,Estádio Joaquim Américo Guimarães (Curitiba- Paraná)
1525633200,May 6 2018 - 7:00pm,complete,6652,Vitória,Fluminense,1.00,0.00,1.37,0.68,1,2,3,1,1,0,"21","73,86",3,9,2,0,1,0,8,13,2,4,6,9,18,7,38,62,3.50,100,100,100,50,0,50,100,6.00,3.00,2.21,3.5,3.44,1.31,1.95,3.45,6.7,1.8,2.05,Estádio Manoel Barradas (Salvador- Bahia)
1525633200,May 6 2018 - 7:00pm,complete,60182,Flamengo,Internacional,3.00,0.00,2.32,1.21,2,0,2,0,0,0,"71,87","",6,6,5,0,4,1,13,9,7,5,6,4,10,11,57,43,1.50,0,50,0,0,0,50,100,15.00,3.00,1.79,3.63,5.16,1.43,2.35,4.45,9,2.25,1.65,Estadio Jornalista Mário Filho (Maracanã) (Rio de Janeiro- Rio de Janeiro)
1525644000,May 6 2018 - 10:00pm,complete,N/A,Sport Recife,Bahia,1.00,0.00,1.58,0.58,2,0,2,1,1,0,"44,49","",9,7,1,0,2,1,19,7,11,2,8,5,17,21,48,52,2.00,50,100,0,0,0,0,50,13.00,1.00,2.11,3.36,3.86,1.36,2.1,3.85,7.5,1.95,1.87,Estádio Adelmar da Costa Carvalho (Recife- Pernambuco)
1525644000,May 6 2018 - 10:00pm,complete,25779,Grêmio,Santos,1.00,0.00,2.16,0.89,5,1,6,3,2,1,"31,45'2,55,70,80","33",8,1,1,0,3,0,19,8,10,3,9,5,15,22,62,38,0.50,0,0,0,0,0,0,0,13.00,6.00,1.83,3.64,4.84,1.42,2.25,4.3,8.5,2.4,1.57,Arena do Grêmio (Porto Alegre- Rio Grande do Sul)
