,Data,Hora,Home,S,Away,Res,,
86,,16:20,Grêmio Barueri,-,EC Vitória BA,1:0 (1:0),,
87,,16:20,ASA,-,Portuguesa (SP),2:0 (1:0),,
88,,16:20,Paraná Clube,-,Duque de Caxias,3:1 (2:0),,
89,,21:00,ABC FC,-,Criciúma EC,1:1 (1:0),,
90,05.07.2011,21:00,Duque de Caxias,-,Grêmio Barueri,2:3 (1:1),,
91,,21:00,Criciúma EC,-,Goiás EC,2:0 (0:0),,
92,08.07.2011,21:00,Portuguesa (SP),-,Salgueiro AC,1:0 (0:0),,
93,,21:00,Vila Nova FC GO,-,São Caetano,2:0 (1:0),,
94,,21:00,EC Vitória BA,-,Bragantino,4:1 (2:1),,
95,09.07.2011,21:00,Sport Club Recife,-,Ponte Preta,3:1 (1:0),,
96,,21:00,ASA,-,Paraná Clube,4:2 (3:1),,
97,,21:00,Icasa,-,Clube Náutico,1:2 (1:0),,
98,,21:00,Americana Futebol,-,Boa EC,2:1 (0:0),,
99,10.07.2011,11:00,Guarani FC,-,ABC FC,1:2 (0:2),,
100,12.07.2011,21:00,São Caetano,-,ASA,2:0 (0:0),,
101,,21:00,Clube Náutico,-,Americana Futebol,3:2 (2:2),,
102,15.07.2011,21:00,Paraná Clube,-,Vila Nova FC GO,2:1 (1:0),,
103,,21:00,Goiás EC,-,EC Vitória BA,4:1 (3:1),,
104,,21:00,Boa EC,-,Portuguesa (SP),1:2 (0:1),,
105,16.07.2011,16:20,Ponte Preta,-,Guarani FC,2:0 (1:0),,
106,,16:20,Bragantino,-,Sport Club Recife,3:2 (2:2),,
107,,16:20,Grêmio Barueri,-,Icasa,1:2 (0:1),,
108,,16:20,Salgueiro AC,-,Criciúma EC,2:1 (2:1),,
109,,21:00,ABC FC,-,Duque de Caxias,3:0 (2:0),,
110,19.07.2011,21:00,Duque de Caxias,-,Icasa,1:1 (1:0),,
111,,21:00,Americana Futebol,-,Goiás EC,1:3 (0:1),,
112,22.07.2011,21:00,São Caetano,-,Grêmio Barueri,1:1 (1:0),,
113,,21:00,Sport Club Recife,-,Salgueiro AC,3:0 (1:0),,
114,,21:00,ASA,-,Guarani FC,3:2 (2:2),,
115,23.07.2011,16:20,Ponte Preta,-,Bragantino,1:3 (0:2),,
116,,16:20,EC Vitória BA,-,Portuguesa (SP),0:2 (0:1),,
117,,16:20,Vila Nova FC GO,-,Clube Náutico,0:0 (0:0),,
118,,16:20,Criciúma EC,-,Paraná Clube,1:2 (1:1),,
119,,21:00,Boa EC,-,ABC FC,0:0 (0:0),,
120,26.07.2011,19:30,Guarani FC,-,Duque de Caxias,4:0 (2:0),,
121,,19:30,Bragantino,-,Boa EC,1:2 (0:0),,
122,,19:30,Grêmio Barueri,-,Vila Nova FC GO,1:0 (1:0),,
123,,19:30,Goiás EC,-,Sport Club Recife,2:1 (1:1),,
124,,19:30,Portuguesa (SP),-,Americana Futebol,0:0 (0:0),,
125,,21:50,Paraná Clube,-,Ponte Preta,0:1 (0:0),,
126,,21:50,Clube Náutico,-,EC Vitória BA,2:0 (1:0),,
127,,21:50,Salgueiro AC,-,ASA,1:1 (0:0),,
128,,21:50,Icasa,-,Criciúma EC,0:1 (0:1),,
129,,21:50,ABC FC,-,São Caetano,2:2 (1:2),,
130,29.07.2011,19:30,Criciúma EC,-,Americana Futebol,1:0 (0:0),,
131,,19:30,ASA,-,ABC FC,4:3 (2:2),,
132,,21:00,Vila Nova FC GO,-,Salgueiro AC,1:0 (1:0),,
133,,21:50,Duque de Caxias,-,Goiás EC,2:3 (1:1),,
134,30.07.2011,16:20,Ponte Preta,-,Portuguesa (SP),0:3 (0:0),,
135,,16:20,São Caetano,-,Paraná Clube,1:1 (1:0),,
136,,16:20,Grêmio Barueri,-,Guarani FC,1:3 (0:0),,
137,,16:20,Icasa,-,Bragantino,2:0 (0:0),,
138,,16:20,EC Vitória BA,-,Boa EC,0:1 (0:0),,
139,09.08.2011,21:00,Sport Club Recife,-,Clube Náutico,2:0 (0:0),,
140,02.08.2011,21:00,Portuguesa (SP),-,Criciúma EC,2:0 (0:0),,
141,,21:00,Guarani FC,-,São Caetano,1:0 (0:0),,
142,,21:00,Bragantino,-,Duque de Caxias,3:0 (2:0),,
143,05.08.2011,21:00,Clube Náutico,-,ASA,1:0 (0:0),,
144,,21:00,Paraná Clube,-,Grêmio Barueri,1:3 (0:2),,
145,06.08.2011,16:20,Goiás EC,-,Vila Nova FC GO,1:1 (0:0),,
146,,16:20,Americana Futebol,-,Ponte Preta,0:2 (0:1),,
147,,16:20,Salgueiro AC,-,EC Vitória BA,0:2 (0:2),,
148,,16:20,Boa EC,-,Sport Club Recife,3:0 (2:0),,
149,,21:00,ABC FC,-,Icasa,1:1 (1:0),,
150,09.08.2011,21:00,São Caetano,-,Goiás EC,2:1 (0:1),,
151,,21:00,Vila Nova FC GO,-,Duque de Caxias,1:1 (0:1),,
152,12.08.2011,21:00,ASA,-,Boa EC,2:1 (1:0),,
153,,21:00,Icasa,-,Guarani FC,1:1 (0:1),,
154,,21:00,EC Vitória BA,-,Americana Futebol,5:2 (2:1),,
155,13.08.2011,16:20,Ponte Preta,-,Criciúma EC,3:0 (2:0),,
156,,16:20,Bragantino,-,Salgueiro AC,5:3 (3:3),,
157,,16:20,Sport Club Recife,-,Portuguesa (SP),2:3 (0:0),,
